id,name,common_name,formula,odor_description,taste_profiles
6949,Guaiene,Guaiene,,guaiacwood@powdery@spice@sweet@woody@wood@spicy@dry,sweet
64685,Borneol,Borneol,,woody@pine@camphor,
9862,6-Methyl-5-Hepten-2-One,6-Methyl-5-Hepten-2-One,,pepper@apple@mushroom@citrus@musty@rubber@nutty@green@hazelnut@bitter@lemongrass,sour;bitter;umami
10106,"1,4-Cineole","1,4-Cineole",,cooling@spice@green@terpene@minty@pine@camphor,
5281515,Beta-Caryophyllene,Beta-Caryophyllene,,spice@clove@sweet@woody@wood@dry,sweet
26049,3-Carene,3-Carene,,lemon@citrus@sweet@resin,sweet;sour
61040,Linalyl formate,Linalyl formate,,coriander@citrus@rose@green@bergamot@herbal@bitter@fruity,sweet;sour;bitter
5363526,Ocimene quintoxide,Ocimene quintoxide,,,
11463,Terpinolene,Terpinolene,,citrus@fresh@sweet@woody@pine@plastic,sweet;sour
10582,Myrtenol,Myrtenol,,mint@medical@woody@sweet@balsam@pine,sweet
11468,1-Terpineol,1-Terpineol,,must@woody@musty@dry,
16441,Perillaldehyde,Perillaldehyde,,mint@spice@fat@herbal@fresh@oily@fatty@sweet@cherry@grassy@cumin@green,sweet
61362,d-Piperitone,d-Piperitone,,minty@peppermint,
522514,Linaloyl oxide,Linaloyl oxide,,,
11509,3-Hexanone,3-Hexanone,,ether@waxy@grape@sweet@rum@fruity,sweet
61016,"2,6-Dimethyl-5-heptenal","2,6-Dimethyl-5-heptenal",,lemon@peach@cantaloupe@clean@ozone@vegetable@fatty@earthy@woody@melon@nutty@wine_like@meaty@spicy@citrus@fruit@herbaceous@green@cucumber@fresh air@floral@watermelon@sweet@fruity@grapefruit,sweet;sour;umami
323,coumarin,coumarin,,sweet@new mown hay@green@tonka@bitter,sweet;bitter
7150,Methyl Benzoate,Methyl Benzoate,,prune@cananga@floral@wintergreen@lettuce@sweet@almond@herb@phenolic,sweet
7002,1-Methylnaphthalene,1-Methylnaphthalene,,naphthyl@medicinal@chemical@camphor,
637566,Geraniol,Geraniol,,citrus@rose@waxy@floral@sweet@fruity@geranium,sweet;sour
439341,alpha-Maltose,alpha-Maltose,,odorless@sweet,sweet
33931,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,,butterscotch@caramel@sweet@candy,sweet
6072,Phlorizin,Phlorizin,,bitter,bitter
72277,(-)-Epigallocatechin,(-)-Epigallocatechin,,bitter,bitter
878,methanethiol,methanethiol,,sulfur@garlic@gasoline@decomposing cabbage,
