compound_id,taste_profile_id,intensity
6949,sweet,0.7
9862,sour,0.7
9862,bitter,0.7
9862,umami,0.7
5281515,sweet,0.7
26049,sweet,0.7
26049,sour,0.7
61040,sweet,0.7
61040,sour,0.7
61040,bitter,0.7
11463,sweet,0.7
11463,sour,0.7
10582,sweet,0.7
16441,sweet,0.7
11509,sweet,0.7
61016,sweet,0.7
61016,sour,0.7
61016,umami,0.7
323,sweet,0.7
323,bitter,0.7
7150,sweet,0.7
637566,sweet,0.7
637566,sour,0.7
439341,sweet,0.7
33931,sweet,0.7
6072,bitter,0.7
72277,bitter,0.7
5281708,bitter,0.7
240,sweet,0.7
240,bitter,0.7
5281707,bitter,0.7
244,sweet,0.7
441484,sweet,0.7
441484,bitter,0.7
1889,bitter,0.7
637920,sweet,0.7
4788,bitter,0.7
6184,sweet,0.7
5366074,sweet,0.7
11128,bitter,0.7
8723,sweet,0.7
957,umami,0.7
12756,sweet,0.7
14296,bitter,0.7
8094,sour,0.7
8094,umami,0.7
460,sweet,0.7
1183,sweet,0.7
12232,sweet,0.7
12232,sour,0.7
12232,umami,0.7
5280511,sweet,0.7
5280511,bitter,0.7
11747,sweet,0.7
11747,umami,0.7
5315892,sweet,0.7
5315892,bitter,0.7
5284507,sour,0.7
784,bitter,0.7
8892,sour,0.7
8892,umami,0.7
853433,sweet,0.7
5281222,bitter,0.7
7654,sweet,0.7
702,sweet,0.7
999,sweet,0.7
999,sour,0.7
643941,sweet,0.7
637511,sweet,0.7
72276,bitter,0.7
22386,sour,0.7
22386,umami,0.7
8063,sweet,0.7
8063,sour,0.7
8063,umami,0.7
8180,umami,0.7
6986,sweet,0.7
65064,bitter,0.7
107905,bitter,0.7
18827,umami,0.7
6054,sweet,0.7
6054,bitter,0.7
439263,sweet,0.7
5971,bitter,0.7
1110,sour,0.7
5284639,bitter,0.7
31289,sour,0.7
5280443,bitter,0.7
998,sweet,0.7
998,bitter,0.7
5318042,sweet,0.7
379,umami,0.7
1130,bitter,0.7
107,sweet,0.7
31260,sweet,0.7
8908,sweet,0.7
8908,bitter,0.7
10393,sweet,0.7
798,sweet,0.7
6050,bitter,0.7
6050,umami,0.7
10885,sweet,0.7
31276,sweet,0.7
31276,bitter,0.7
650,sweet,0.7
5282108,sweet,0.7
638278,bitter,0.7
444539,sweet,0.7
11732,sweet,0.7
8768,bitter,0.7
12020,sweet,0.7
12020,bitter,0.7
11552,sour,0.7
445070,sweet,0.7
107971,bitter,0.7
7284,bitter,0.7
7501,sweet,0.7
10448,sweet,0.7
638011,sweet,0.7
638011,sour,0.7
638011,bitter,0.7
6560,bitter,0.7
89594,bitter,0.7
5280863,bitter,0.7
7409,sweet,0.7
8093,bitter,0.7
8103,sweet,0.7
8369,sweet,0.7
7802,sweet,0.7
8914,bitter,0.7
439533,bitter,0.7
10976,sweet,0.7
10976,bitter,0.7
10976,umami,0.7
6251,sweet,0.7
7895,sweet,0.7
802,sour,0.7
26447,bitter,0.7
7915,sweet,0.7
1549026,bitter,0.7
5363388,sweet,0.7
3776,bitter,0.7
7361,sweet,0.7
7361,bitter,0.7
9064,bitter,0.7
7462,sour,0.7
7462,bitter,0.7
1068,sweet,0.7
439246,bitter,0.7
8193,sweet,0.7
18522,sweet,0.7
62453,sweet,0.7
5280343,bitter,0.7
246728,sweet,0.7
246728,umami,0.7
454,sour,0.7
768,bitter,0.7
2345,sweet,0.7
2345,umami,0.7
5284503,bitter,0.7
8857,sweet,0.7
11173,sweet,0.7
643779,sweet,0.7
65084,bitter,0.7
61020,sweet,0.7
7302,sweet,0.7
1031,sour,0.7
1031,umami,0.7
8130,sour,0.7
6569,sweet,0.7
61503,sour,0.7
126,sweet,0.7
5280445,bitter,0.7
7710,sweet,0.7
6549,sweet,0.7
6549,sour,0.7
8158,umami,0.7
15380,umami,0.7
25915,sweet,0.7
25915,bitter,0.7
18554,sweet,0.7
6584,sweet,0.7
6584,bitter,0.7
13187,sweet,0.7
5321950,sweet,0.7
8129,sweet,0.7
5283356,sweet,0.7
5283356,sour,0.7
11902,sweet,0.7
11902,umami,0.7
6429333,sweet,0.7
5363140,sweet,0.7
5363140,umami,0.7
5363229,sweet,0.7
5363229,umami,0.7
14511,sweet,0.7
7938,bitter,0.7
36822,umami,0.7
6544,sweet,0.7
5362588,sweet,0.7
30914,bitter,0.7
26335,bitter,0.7
15037,sweet,0.7
15037,bitter,0.7
16800,umami,0.7
61252,umami,0.7
26331,bitter,0.7
7797,sweet,0.7
28905,sweet,0.7
28905,sour,0.7
28905,umami,0.7
26334,bitter,0.7
7820,sweet,0.7
5370602,sweet,0.7
5370602,bitter,0.7
22201,sweet,0.7
22201,bitter,0.7
9256,umami,0.7
12097,sweet,0.7
19309,sweet,0.7
8163,sweet,0.7
12170,sweet,0.7
5283345,umami,0.7
19602,sweet,0.7
9589,sweet,0.7
9025,sweet,0.7
7704,sweet,0.7
6654,sweet,0.7
6654,bitter,0.7
32033,umami,0.7
17129,sweet,0.7
7921,sweet,0.7
5352876,sweet,0.7
5352876,umami,0.7
73750,umami,0.7
90246,sour,0.7
90246,umami,0.7
75515,sweet,0.7
62444,umami,0.7
5281168,sweet,0.7
8835,sweet,0.7
7127,sweet,0.7
7127,bitter,0.7
60985,sweet,0.7
1549778,sweet,0.7
264,umami,0.7
7794,sweet,0.7
7794,sour,0.7
3314,sweet,0.7
10430,sour,0.7
10430,umami,0.7
8175,sweet,0.7
8175,sour,0.7
643820,sweet,0.7
643820,sour,0.7
643820,bitter,0.7
5367531,sweet,0.7
20083,umami,0.7
8468,sweet,0.7
25310,sweet,0.7
1049,sour,0.7
61206,sweet,0.7
8858,sweet,0.7
8186,sweet,0.7
8186,sour,0.7
8500,sweet,0.7
8500,bitter,0.7
8194,sour,0.7
8363,sweet,0.7
1032,sour,0.7
6590,umami,0.7
11527,sour,0.7
11527,umami,0.7
61400,sweet,0.7
636687,sour,0.7
9895,sweet,0.7
7909,sweet,0.7
6202,sour,0.7
6202,bitter,0.7
12367,sweet,0.7
12367,sour,0.7
12367,umami,0.7
637564,sweet,0.7
637564,sour,0.7
7795,sweet,0.7
22873,sweet,0.7
12209,sweet,0.7
7650,sweet,0.7
7650,umami,0.7
12180,sweet,0.7
31291,sour,0.7
61030,sweet,0.7
62572,sweet,0.7
31210,sweet,0.7
17525,sweet,0.7
7824,sweet,0.7
7714,sweet,0.7
8139,umami,0.7
24020,sweet,0.7
7559,sweet,0.7
13357,sweet,0.7
12293,sweet,0.7
7997,sweet,0.7
7997,bitter,0.7
31272,sweet,0.7
12206,sweet,0.7
16330,bitter,0.7
8091,sweet,0.7
12777,sweet,0.7
8499,sweet,0.7
7826,sweet,0.7
15606,sweet,0.7
14228,sweet,0.7
8375,sweet,0.7
5364532,sweet,0.7
519845,sweet,0.7
31265,sweet,0.7
5364409,sweet,0.7
5362782,sweet,0.7
18698,sweet,0.7
61293,sweet,0.7
61293,sour,0.7
7658,sweet,0.7
78199,sweet,0.7
78199,sour,0.7
78199,umami,0.7
8821,sweet,0.7
8821,bitter,0.7
85522,sweet,0.7
7848,sweet,0.7
11124,sweet,0.7
11124,bitter,0.7
19310,umami,0.7
61171,sweet,0.7
61171,bitter,0.7
61171,umami,0.7
78925,umami,0.7
61664,sweet,0.7
31245,sweet,0.7
77932,umami,0.7
62897,sweet,0.7
5281163,sweet,0.7
61663,sweet,0.7
5281162,sweet,0.7
7803,sweet,0.7
7803,bitter,0.7
7362,sweet,0.7
20653,sweet,0.7
20653,umami,0.7
5364399,sweet,0.7
16617,sweet,0.7
12508,sweet,0.7
12508,bitter,0.7
31249,sweet,0.7
637520,sweet,0.7
7762,sweet,0.7
8051,sweet,0.7
7344,sweet,0.7
7344,sour,0.7
8073,sweet,0.7
8073,bitter,0.7
8025,bitter,0.7
8184,sour,0.7
16237,sweet,0.7
7711,bitter,0.7
16821,sweet,0.7
7749,sweet,0.7
263,sweet,0.7
61814,sweet,0.7
8365,sweet,0.7
8038,sweet,0.7
8038,bitter,0.7
11508,sweet,0.7
5364231,sweet,0.7
16255,sweet,0.7
31251,sweet,0.7
7800,sweet,0.7
7799,sweet,0.7
12587,umami,0.7
7590,sweet,0.7
7590,bitter,0.7
6915,sweet,0.7
6915,sour,0.7
61325,sweet,0.7
61325,umami,0.7
7945,sweet,0.7
10957,sweet,0.7
61592,sweet,0.7
8048,sweet,0.7
31266,sweet,0.7
11039,sweet,0.7
78879,sweet,0.7
11614,sweet,0.7
263620,sweet,0.7
177,sweet,0.7
7761,sweet,0.7
65425,sweet,0.7
65425,umami,0.7
10886,sweet,0.7
442501,sour,0.7
8655,sweet,0.7
6432005,sweet,0.7
7463,sour,0.7
7943,sweet,0.7
6420258,sweet,0.7
14529,sweet,0.7
14529,sour,0.7
11160,sweet,0.7
7165,sweet,0.7
7165,bitter,0.7
11593,sweet,0.7
521246,sweet,0.7
7342,sweet,0.7
5323650,sweet,0.7
5364778,sweet,0.7
12844,sweet,0.7
12844,umami,0.7
526152,sweet,0.7
10882,sweet,0.7
7991,sour,0.7
8314,sour,0.7
8314,umami,0.7
12044,sweet,0.7
12044,sour,0.7
61641,sweet,0.7
111037,sweet,0.7
111037,sour,0.7
261,sweet,0.7
261,sour,0.7
261,umami,0.7
12810,sweet,0.7
284,sour,0.7
560255,sweet,0.7
9261,sweet,0.7
1146,sweet,0.7
12813,sweet,0.7
7341,sour,0.7
7341,umami,0.7
21108,sweet,0.7
7353,sweet,0.7
8174,sweet,0.7
2969,sour,0.7
7981,sweet,0.7
61743,sweet,0.7
31225,sweet,0.7
70,sweet,0.7
8082,sweet,0.7
8082,bitter,0.7
12613,sweet,0.7
62445,sweet,0.7
62445,umami,0.7
5352438,sweet,0.7
875,sweet,0.7
10895,sweet,0.7
10895,bitter,0.7
7775,sweet,0.7
16872,sweet,0.7
5352543,sweet,0.7
7193,sweet,0.7
5281516,sweet,0.7
5281516,sour,0.7
24838,sweet,0.7
440936,bitter,0.7
6274,bitter,0.7
520296,sweet,0.7
6140,bitter,0.7
1060,sweet,0.7
1060,sour,0.7
7519,umami,0.7
18818,sour,0.7
82336,sweet,0.7
61041,sweet,0.7
5281553,sweet,0.7
5281553,sour,0.7
10795,sweet,0.7
179,sweet,0.7
4114,bitter,0.7
1713001,sweet,0.7
1713001,sour,0.7
1713001,umami,0.7
5315912,sweet,0.7
22311,sour,0.7
8294,sweet,0.7
8294,sour,0.7
8785,sweet,0.7
8785,bitter,0.7
11514,sweet,0.7
5317319,sweet,0.7
5317319,sour,0.7
753,sweet,0.7
61455,sweet,0.7
7655,sweet,0.7
7655,bitter,0.7
8792,sweet,0.7
8792,bitter,0.7
61185,sweet,0.7
20861,sweet,0.7
20861,bitter,0.7
8738,sweet,0.7
8738,sour,0.7
8738,umami,0.7
83036,sweet,0.7
83036,sour,0.7
83036,umami,0.7
61384,sweet,0.7
229888,sweet,0.7
7772,sweet,0.7
7772,bitter,0.7
520326,sweet,0.7
520326,sour,0.7
61346,umami,0.7
61048,sweet,0.7
17121,sweet,0.7
5367681,sweet,0.7
7460,sour,0.7
329983,bitter,0.7
30248,sweet,0.7
5365069,sweet,0.7
1549025,sour,0.7
7476,sweet,0.7
7476,bitter,0.7
13576,sweet,0.7
13576,sour,0.7
8842,sour,0.7
8842,bitter,0.7
7765,sweet,0.7
7765,sour,0.7
11579,sweet,0.7
11579,sour,0.7
6086514,sweet,0.7
62835,sweet,0.7
62835,bitter,0.7
569214,sweet,0.7
5318599,sour,0.7
5364519,sweet,0.7
7043,sweet,0.7
7410,sweet,0.7
7410,bitter,0.7
5364752,sweet,0.7
520455,sweet,0.7
8176,sweet,0.7
61130,sweet,0.7
8635,sweet,0.7
8635,bitter,0.7
13026600,sweet,0.7
162458,sweet,0.7
5362819,sweet,0.7
17623,sweet,0.7
526624,umami,0.7
8185,sour,0.7
7363,bitter,0.7
5283349,sweet,0.7
5283349,sour,0.7
1123,bitter,0.7
8027,sweet,0.7
12230,sweet,0.7
12230,sour,0.7
12230,bitter,0.7
12230,umami,0.7
33960,umami,0.7
4564493,sweet,0.7
61875,sour,0.7
36225,umami,0.7
1119,bitter,0.7
7742,sweet,0.7
8012,bitter,0.7
11520,bitter,0.7
61337,sweet,0.7
18467,sweet,0.7
8013,umami,0.7
26333,sweet,0.7
31283,sweet,0.7
231325,sweet,0.7
34286,umami,0.7
20499,bitter,0.7
20499,umami,0.7
31492,sweet,0.7
8106,umami,0.7
87793,sweet,0.7
87793,umami,0.7
61045,umami,0.7
519823,umami,0.7
20995,sweet,0.7
28906,umami,0.7
15877,umami,0.7
520191,umami,0.7
7222,bitter,0.7
14505,sweet,0.7
14505,bitter,0.7
263034,bitter,0.7
12266,umami,0.7
62592,sweet,0.7
14491,umami,0.7
61235,sweet,0.7
61653,bitter,0.7
5365587,sweet,0.7
61177,sweet,0.7
12366,sweet,0.7
62374,sweet,0.7
519786,sweet,0.7
5281607,bitter,0.7
5281804,bitter,0.7
660,sweet,0.7
6532,sweet,0.7
8205,sweet,0.7
7708,sweet,0.7
6506,sweet,0.7
6506,bitter,0.7
5463936,sweet,0.7
7778,sweet,0.7
5320250,sweet,0.7
5320250,sour,0.7
5372954,sweet,0.7
445154,bitter,0.7
2758,sweet,0.7
11230,sweet,0.7
9017,sweet,0.7
9017,sour,0.7
7695,sweet,0.7
6568,sweet,0.7
31244,sweet,0.7
31244,bitter,0.7
522266,sweet,0.7
5281670,bitter,0.7
61054,sweet,0.7
13204,sweet,0.7
10883,sweet,0.7
62131,bitter,0.7
62131,umami,0.7
7720,sweet,0.7
7720,sour,0.7
5780,sweet,0.7
7983,sweet,0.7
12294,sweet,0.7
679,bitter,0.7
679,umami,0.7
21596,sweet,0.7
10890,sweet,0.7
12571,sweet,0.7
8918,sweet,0.7
8918,bitter,0.7
61015,sweet,0.7
5281654,bitter,0.7
643139,sweet,0.7
8815,sweet,0.7
11529,sweet,0.7
88454,sweet,0.7
12348,sweet,0.7
31246,sweet,0.7
31246,umami,0.7
2733294,sweet,0.7
13654,sweet,0.7
68077,bitter,0.7
24433,sweet,0.7
12529,sweet,0.7
8167,sour,0.7
229377,sweet,0.7
61137,sweet,0.7
61812,sweet,0.7
7770,sweet,0.7
880,sweet,0.7
880,sour,0.7
5352905,sweet,0.7
7144,sweet,0.7
7144,bitter,0.7
7469,sweet,0.7
7755,sweet,0.7
7755,sour,0.7
19707,sweet,0.7
10823,sweet,0.7
10823,sour,0.7
10823,umami,0.7
8164,umami,0.7
6826,sweet,0.7
6877,sweet,0.7
637776,bitter,0.7
5355853,bitter,0.7
7194,sweet,0.7
159055,bitter,0.7
5283361,sweet,0.7
5283361,sour,0.7
6276,sweet,0.7
5280666,bitter,0.7
5284656,sweet,0.7
4947,bitter,0.7
7359,sweet,0.7
289151,sweet,0.7
25311,sweet,0.7
25311,sour,0.7
2214,sweet,0.7
60983,umami,0.7
5281614,bitter,0.7
12146,sweet,0.7
641256,sweet,0.7
637759,sweet,0.7
62092,sweet,0.7
17691,sweet,0.7
72304,bitter,0.7
220674,sweet,0.7
1140,sweet,0.7
5352539,sweet,0.7
93081,sweet,0.7
93081,sour,0.7
10407,sour,0.7
6987,sweet,0.7
67179,sweet,0.7
1742211,sweet,0.7
439570,sweet,0.7
5367698,sweet,0.7
7646,sweet,0.7
221691,sweet,0.7
6448,sweet,0.7
94174,sweet,0.7
527144,sweet,0.7
