ingredient_a,ingredient_b,score,shared_compounds,key_compounds,explanation
bakery-products,wort,0.26,2,"2,3,5-Trimethylpyrazine;2-Methylpyrazine","Subtle pairing; both contain 2,3,5-Trimethylpyrazine and 2-Methylpyrazine"
bakery-products,beer,0.306,5,"2-Ethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethyl-3-Methylpyrazine",Subtle pairing with 5 shared flavor compounds including 2-Ethylpyrazine
bakery-products,rum,0.339,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethyl-3-Methylpyrazine","Subtle pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
bakery-products,whisky,0.431,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethylpyrazine","Good pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
bakery-products,bourbon-whisky,0.421,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethylpyrazine","Good pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
bakery-products,canadian-whisky,0.437,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethylpyrazine","Good pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
bakery-products,finnish-whisky,0.424,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethylpyrazine","Good pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
bakery-products,japanese-whisky,0.426,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethylpyrazine","Good pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
bakery-products,malt-whisky,0.394,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethylpyrazine","Subtle pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
bakery-products,scotch-whisky,0.407,5,"2,5-Dimethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine;2-Ethylpyrazine","Good pairing with 5 shared flavor compounds including 2,5-Dimethylpyrazine"
